original,translated,example,note
abhängen,von + D,,
achten,auf + A,,
anfangen,mit + D,,
ankommen,auf + A,,
antworten,auf + A,,
sich ärgern,über + A,,
aufhören,mit + D,,
aufpassen,auf + A,,
sich aufregen,über + A,,
ausgeben,für + A,,
sich bedanken (persona),bei + D,,
sich bedanken (cosa),für + A,,
beginnen,mit + D,,
sich bemühen,um + A,,
berichten,über + A,,
sich beschäftigen,mit + D,,
sich beschweren,bei + D,,
bestehen (estar compuesto de),aus + D,,
bestehen (insistir en),auf + D,,
sich beteiligen,an + D,,
sich bewerben (la organización),bei + D,,
sich bewerben (el puesto),um + A,,
sich beziehen,auf + A,,
bitten,um + A,,
danken,für + A,,
denken,an + A,,
diskutieren,über + A,,
einladen,zu + D,,
sich entscheiden,für + A,,
sich entschließen,zu + D,,
sich entschuldigen (persona),bei + D,,
sich entschuldigen (cosa),für + A,,
sich erholen,von + D,,
sich erinnern,an + A,,
erkennen,an + D,,
sich erkundigen,nach + D,,
erschrecken,über + A,,
erzählen (informativo),über + A,,
erzählen (narrativo),von + D,,
fragen,nach + D,,
sich freuen (futuro),auf + A,,
sich freuen (presente/pasado),über + A,,
gehen,um + A,,
gehören,zu + D,,
sich gewöhnen,an + A,,
glauben,an + A,,
gratulieren,zu + D,,
halten (considerar como),für + A,,
halten (opinar de),von + D,,
sich handeln,um + A,,
handeln,von + D,,
helfen,bei + D,,
hindern,an + D,,
hoffen,auf + A,,
hören,von + D,,
sich informieren,über + A,,
sich interessieren,für + A,,
klagen,über + A,,
kämpfen,für + A,,
kommen,zu + D,,
sich konzentrieren,auf + A,,
sich kümmern,um + A,,
lachen,über + A,,
leiden (enfermedad interna),an + D,,
leiden (efecto externo),unter + D,,
nachdenken,über + A,,
protestieren,gegen + A,,
rechnen,mit + D,,
reden (general),über + A,,
reden (concreto),von + D,,
riechen,nach + D,,
sagen (general),über + A,,
sagen (concreto),zu + D,,
schicken (destinatario),an + A,,
schicken (lugar),zu + D,,
schimpfen,über + A,,
schmecken,nach + D,,
schreiben,an + A,,
sich schützen,vor + D,,
sein (a favor),für + A,,
sein (en contra),gegen + A,,
sorgen,für + A,,
sprechen (persona),mit + D,,
sprechen (cosa),über + A,,
sterben,an + D,,
streiten (persona),mit + D,,
streiten (cosa),über + A,,
teilnehmen,an + D,,
telefonieren,mit + D,,
sich treffen (persona),mit + D,,
sich treffen (propósito),zu + D,,
überreden,zu + D,,
sich unterhalten (persona),mit + D,,
sich unterhalten (cosa),über + A,,
sich verabreden,mit + D,,
sich verabschieden,von + D,,
vergleichen,mit + D,,
sich verlassen,auf + A,,
sich verlieben,in + A,,
sich verstehen,mit + D,,
verstehen,von + D,,
sich vorbereiten,auf + A,,
warnen,vor + D,,
warten,auf + A,,
sich wenden,an + A,,
werden,zu + D,,
wissen,von + D,,
sich wundern,über + A,,
zuschauen,bei + D,,
zusehen,bei + D,,
zweifeln,an + D,,
